epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,289.388,1.52633,2.91555,1.64789,0.40625,0.43137,0.41122,0.22779,1.574,2.93635,1.61541,0.000208261,0.000208261,0.000208261
2,545.942,1.51461,2.24001,1.58018,0.54071,0.5005,0.50003,0.27374,1.58483,2.30376,1.53605,0.000375351,0.000375351,0.000375351
3,801.612,1.49776,1.97133,1.55675,0.56358,0.55106,0.55068,0.30703,1.59112,1.98415,1.56608,0.000501192,0.000501192,0.000501192
4,1046.04,1.46916,1.78,1.52696,0.63787,0.56759,0.6014,0.35837,1.46873,1.67573,1.47734,0.000439375,0.000439375,0.000439375
5,1288.69,1.41261,1.5827,1.49284,0.63972,0.58629,0.60966,0.35586,1.48639,1.58285,1.46955,0.0003775,0.0003775,0.0003775
6,1528.3,1.38135,1.4433,1.46436,0.69244,0.61456,0.65505,0.38139,1.49294,1.4599,1.45448,0.000315625,0.000315625,0.000315625
7,1771.85,1.34565,1.33458,1.43413,0.72889,0.64577,0.68384,0.40802,1.43945,1.35439,1.42263,0.00025375,0.00025375,0.00025375
8,2011.87,1.31403,1.23793,1.40944,0.75787,0.64904,0.70287,0.42078,1.42884,1.26194,1.41112,0.000191875,0.000191875,0.000191875
9,2262.31,1.27448,1.14298,1.37847,0.74304,0.67303,0.71664,0.43186,1.42012,1.23388,1.38842,0.00013,0.00013,0.00013
10,2508.12,1.24647,1.07897,1.35872,0.80081,0.67415,0.72382,0.44378,1.39604,1.19069,1.37904,6.8125e-05,6.8125e-05,6.8125e-05
